log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
28,1024,262144,0.5,4,8.508765530,4.270717381,0.033572933,4845055
28,1024,262144,0.5,8,5.882998489,4.070238239,0.032168350,4845055
28,1024,262144,0.5,16,5.038900072,3.979445490,0.032219261,4845055
29,1024,524288,0.5,1,51.877387533,10.282019091,0.056377677,5005028
29,1024,524288,0.5,2,29.238978704,10.648208985,0.050253096,5005028
29,1024,524288,0.5,4,17.189861214,8.908639009,0.045201139,5005028
29,1024,524288,0.5,8,11.926725975,9.480316989,0.040500742,5005028
29,1024,524288,0.5,16,10.151581010,8.224127072,0.035521637,5005028
30,1024,1048576,0.5,1,107.978285211,22.678792908,0.051452054,5182920
30,1024,1048576,0.5,2,60.769625854,20.118756264,0.040148995,5182920
30,1024,1048576,0.5,4,35.028951363,19.873680417,0.035522310,5182920
30,1024,1048576,0.5,8,24.219853627,17.345144978,0.033121684,5182920
30,1024,1048576,0.5,16,20.414685009,16.297940598,0.031589208,5182920
