goldilocks-quadratic sha256 log_n=23 threads=2: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=181070080 peak_with_overhead=514170992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=23 threads=4: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=185264384 peak_with_overhead=519413872; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=23 threads=8: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=193652992 peak_with_overhead=529899632; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=23 threads=16: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=210430208 peak_with_overhead=550871152; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=24 threads=1: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=317995520 peak_with_overhead=939607432; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=24 threads=2: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=320092672 peak_with_overhead=942228872; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=24 threads=4: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=324286976 peak_with_overhead=947471752; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=24 threads=8: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=332675584 peak_with_overhead=957957512; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=24 threads=16: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=349452800 peak_with_overhead=978929032; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=25 threads=1: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=593651456 peak_with_overhead=1792736672; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=25 threads=2: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=595748608 peak_with_overhead=1795358112; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=25 threads=4: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=599942912 peak_with_overhead=1800600992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=25 threads=8: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=608331520 peak_with_overhead=1811086752; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=25 threads=16: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=625108736 peak_with_overhead=1832058272; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
